pid,date,archive_number,title,description,extent,condition,date_unvalidated,creator,collector,materials,collection,key,order,layout,notes,thumbnail,full
46,2023-10-25,23-01/1-4-47,Child's Fleece Smock with Embroidered Flowers,Child's White Fleece Smock with Embroidered Flowers at the neck and lace details.,1,Good,Unknown,Unknown,Grant Perry,"fabric, Thread",tinui,object,045,tinui_item,"","",""
47,2023-10-25,23-01/1-4-48,White baby jacket with embroidered flowers,"White baby jacket with embroidered flowers, a white pearl button, and long sleeves with smocking detail.",1,Good,Unknown,Unknown,Grant Perry,"fabric, Thread",tinui,object,046,tinui_item,"","",""
48,2023-10-25,23-01/1-4-49,White knitted baby bonnet with ribbons,White knitted baby bonnet with eyelet pattern and ribbon ties,1,Good,Unknown,Unknown,Grant Perry,"wool, Thread, ribbons",tinui,object,047,tinui_item,"","",""
49,2023-10-25,23-01/1-4-50,Money bags from the Tinui Post Office,"Money bags from the Tinui Post Office, linen bags that read ""This bag is property of Bank of New Zealand: The Dominion's Largest Trading Bank R/67""",3,Good,Unknown,Bank of New Zealand,Unknown,"Linen, Thread",tinui,object,048,tinui_item,"","",""
50,2023-10-25,23-01/1-4-51,Money bag from the Tinui Post Office,"Money bag from the Tinui Post Office, linen bag that reads ""This bag is property of Bank of New Zealand: The Dominion's Largest Trading Bank R/56""",1,Good,Unknown,Bank of New Zealand,Unknown,"Linen, Thread",tinui,object,049,tinui_item,"","",""
51,2023-10-25,23-01/1-4-52,Set of Butter Pats,Set of grooved wooden butter pats,1,Good,Unknown,Unknown,Unknown,Wood,tinui,object,050,tinui_item,"","",""
52,2023-10-25,23-01/1-4-53,World War One water bottle carrier,"World War One leather water bottle carrier, buckled to the saddle for the cavalry. ",1,Fair,1910s,Unknown,Unknown,"Leather, metal, Thread",tinui,object,051,tinui_item,"","",""
53,2023-10-25,23-01/1-4-54,White Ceramic Serving dish lid ,White Ceramic Serving dish lid with handle and vine pattern,1,Fair,Unknown,Unknown,Mr & Mrs Hugh Belliss,"Ceramic, paint",tinui,object,052,tinui_item,Labels says 1880? Possible date,"",""
54,2023-10-25,23-01/1-4-55,Wooden hat stand,Wooden hat stand,1,Good,Unknown,Unknown,Unknown,Wood,tinui,object,053,tinui_item,"Top and base are not attached, take care when lifting","",""
55,2023-10-25,23-01/1-4-56,White cotton christening gown,"White cotton christening gown with insertion lace in front and lace at collar, cuffs, and hem.",1,Good,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,054,tinui_item,"","",""
56,2023-10-25,23-01/1-4-57,Embroidered pouch full of drief lavender,Embroidered pouch full of drief lavender. Net fabric with lavender embroidered on the front. Springs kept in place with a cream ribbon. Edges finished with blanket stitch in purple. ,1,Good,Unknown,Unknown,Unknown,"fabric, Thread, dried lavender",tinui,object,055,tinui_item,"","",""
57,2023-10-25,23-01/1-4-58,Glass bottle with metal handle,"Glass bottle with rusted metal handle and ""GLOBE"" imprinted into the glass",1,Good,Unknown,Unknown,Unknown,"Metal, Glass",tinui,object,056,tinui_item,"","",""
58,2023-10-25,23-01/1-4-59,White cotton christening gown,"White cotton christening gown with insertion lace in front and lace at collar, cuffs, and hem.",1,Good,Unknown,Unknown,Grant Perry,"fabric, Thread",tinui,object,057,tinui_item,"","",""
59,2023-10-25,23-01/1-4-60,Cream Crochet doily rectangular,"Cream Crochet doily, rectangular. Made up of smaller circles they are three by four. ",1,Good,Unknown,Unknown,Unknown,Thread,tinui,object,058,tinui_item,"","",""
60,2023-10-25,23-01/1-4-61,Embroidered table runner with blue and pink flowers,"Embroidered table runner, herringbone stitched around edges in blue, black, and pink. At each end is a black circle surrounded by blue and pink flowers.",1,Fair,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,059,tinui_item,"","",""
61,2023-10-25,23-01/1-4-62,Embroidered table runner with black squares,"Embroidered table runner, the edging is in blue linen and it feature black running stitch borders with bold pink and purple flowers inside.",1,Good,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,060,tinui_item,"","",""
62,2023-10-25,23-01/1-4-63,Embroidered table runner with purple edging,"Embroidered table runner, the edging is in purple linen and it feature black running stitch borders with bold pink and purple flowers inside.",1,Good,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,061,tinui_item,"","",""
63,2023-10-25,23-01/1-4-64,Cream Crochet doily small,"Cream Crochet doily small, five concentric circles of ruffles making a round doily  ",1,Good,Unknown,Unknown,Unknown,Thread,tinui,object,062,tinui_item,"","",""
64,2023-10-25,23-01/1-4-65,Cream Crochet doily large,"Cream Crochet doily large, two concentric circles of large ruffles making a round doily  ",1,Good,Unknown,Unknown,Unknown,Thread,tinui,object,063,tinui_item,"","",""
65,2023-10-25,23-01/1-4-66,Embroidered table runner with white lace edging,Embroidered table runner with white lace edging and insertion lace sections,1,Fair,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,064,tinui_item,"","",""
66,2023-10-25,23-01/1-4-67,Cot mattress cover,Cot mattress cover with leaves and vines in white embroidery and ruffles fabric edges.,1,Good,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,065,tinui_item,"","",""
67,2023-10-25,23-01/1-4-68,Embroidered handkerchief with lambs,Embroidered handkerchief with pink lambs and flowers in corners and lace edging.,1,Fair,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,066,tinui_item,"","",""
68,2023-10-25,23-01/1-4-69,Cardboard box for boot polish,"Cardboard box for boot polish. Top reads ""Nugget: Brown boot polishing outfit.""",1,Fair,1960,Unknown,Unknown,"Cardboard, ink",tinui,object,067,tinui_item,"","",""
69,2023-10-25,23-01/1-4-70,"Life preserver from the S S Ripple, Napier","Life preserver from the S S Ripple, Napier",1,Good,Unknown,Unknown,Unknown,"Rope, ???",tinui,object,068,tinui_item,"","",""
70,2023-10-25,23-01/1-4-71,Child's car seat,"Child's car seat made from wood, metal and leather with straps to attach it to the car.",1,Good,Unknown,Unknown,Unknown,"Wood, Metal, Leather, Plastic",tinui,object,069,tinui_item,"","",""
71,2023-10-25,23-01/1-4-72,Glass jar with lid ,"Glass jar with lid and metal clips on the side. Lid and front read ""Agee Queen"" ",1,Fair,Unknown,Unknown,Unknown,"Glass, metal",tinui,object,070,tinui_item,"","",""
72,2023-10-25,23-01/1-4-73,Bundt cake tin,Metal Bundt cake tin with screw on lid and handle.,1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,071,tinui_item,"","",""
73,2023-10-25,23-01/1-4-74,Electric kettle ,"Electric kettle with plastic handle grip, removable lid, and plug socket.",1,Good,Unknown,"Bulpitt & Sons Ltd. Birmingham, England",Belliss Family,"Metal, plastic",tinui,object,072,tinui_item,"","",""
74,2023-10-25,23-01/1-4-75,Rolled Oats Bag,"Rolled Oats Bag, Linen. Text reads ""Buchanan Rolled Oats"" and in the centre there is an illustration of the oats.",1,Good,Unknown,Buchanan's,Unknown,"Linen, Thread, Ink",tinui,object,073,tinui_item,"","",""
75,2023-10-25,23-01/1-4-76,"""Temptingly Sheer"" stockings in bag","""Temptingly Sheer"" stockings in unopened bag. Bag reads ""Temptingly Sheer: For the Young at Heart. Temptation Bri-Nylon. 15 Dernier Service Sheer"". Contains photo of Frank Sinatra.",1,Good,1960s,Unknown,Unknown,"Plastic, Cardboard, Nylon",tinui,object,074,tinui_item,Packaging suggests 1960s,"",""
76,2023-10-25,23-01/1-4-77,Mystique Seam Free stockings,"Mystique Seam Free stockings, in packet. Cover is red with a woman's face. She has a bob and is wearing 1960s make up. ",1,Good,1960s,Unknown,Unknown,"Plastic, Cardboard, Nylon",tinui,object,075,tinui_item,"","",""
77,2023-10-25,23-01/1-4-78,Cherish Seamfree stockings,"Cherish Seamfree stockings, in bag, packaging is white and green.",1,Good,1960s,Prestige,Unknown,"Plastic, Cardboard, Nylon",tinui,object,076,tinui_item,"","",""
78,2023-10-25,23-01/1-4-79,Columbine Purse Pack Stockings,"Columbine Purse Pack Stockings, in bag, packaging is red and white with a woman's legs in gold heels. Under her is the slogan ""A Pair and a Spare""",1,Good,1960s,Columbine,Unknown,"Plastic, Cardboard, Nylon",tinui,object,077,tinui_item,"","",""
79,2023-10-25,23-01/1-4-80,Prestige Ultrasoft Sheer Nylons,"Prestige Ultrasoft Sheer Nylons, in bag, packaging is white with a clear window bordered with gold",1,Good,1960s,Prestige,Unknown,"Plastic, Cardboard, Nylon",tinui,object,078,tinui_item,"","",""
80,2023-10-25,23-01/1-4-81,Pair of sheer brown tights in clear bag,"Pair of sheer brown tights in clear bag, no brand, only a label on the back that reads ""Spring tone. NZ.""",1,Good,Unknown,Unknown,Unknown,"Plastic, Cardboard, Nylon",tinui,object,079,tinui_item,"","",""
81,2023-10-25,23-01/1-4-82,Pair of sheer brown tights,"Pair of sheer brown tights with opaque toes, heels, and waistband",1,Good,Unknown,Unknown,Unknown,"Plastic, Cardboard, Nylon",tinui,object,080,tinui_item,"","",""
82,2023-10-25,23-01/1-4-83,Two pairs of sheer brown tights in clear bag,"Two pairs of sheer brown tights in clear bag, one is a true brown, the other a rusty red brown. The bag has no brand names or labels",1,Good,Unknown,Unknown,Unknown,"Plastic, Cardboard, Nylon",tinui,object,081,tinui_item,"","",""
83,2023-10-25,23-01/1-4-84,Tinui & Districts Lions wall hanging,"Tinui & Districts Lions wall hanging, black felt with Text and images of sheep and a tree and the lions logo.",1,Good,1973,Unknown,Unknown,"Fabric, Thread, Wood, Ink",tinui,object,082,tinui_item,"","",""
84,2023-10-25,23-01/1-4-85,Chicken feed sack,"Chicken feed sack with graphic of roster on front. Text reads ""20.lb Quality Product No. 1 Laying Mash.""",1,Good,Unknown,Timaru Milling Co. ,Unknown,"Linen, Thread, Ink",tinui,object,083,tinui_item,"","",""
85,2023-10-25,23-01/1-4-86,"Skin of a small animal (ferret?), red brown",Skin of a small animal (ferret?),1,Good,Unknown,Unknown,Unknown,Ferret Skin and fur,tinui,object,084,tinui_item,"","",""
86,2023-10-25,23-01/1-4-87,"Skin of a small animal (ferret?), brown","Skin of a small animal (ferret?), brown",2,Good,Unknown,Unknown,Unknown,Ferret Skin and fur,tinui,object,085,tinui_item,"","",""
87,2023-10-25,23-01/1-4-88,Floral baby bib,Floral baby bib with blue binding,1,Fair,Unknown,Unknown,Unknown,"fabric, Thread",tinui,object,086,tinui_item,"","",""
88,2023-10-25,23-01/1-4-89,Frockmaster Hem-Leveller ,"Frockmaster Hem-Leveller, metal device in cardboard box ",1,Good,Unknown,A.W. Brown & Company,Unknown,"Metal, Paint, Fabric",tinui,object,087,tinui_item,"","",""
89,2023-10-25,23-01/1-4-90,Hanson Metal Scale,Hanson Metal Scale,1,Good,Unknown,Unknown,Unknown,"Metal, Glass, Paint",tinui,object,088,tinui_item,"","",""
90,2023-10-25,23-01/1-4-91,Unidentified rusted metal piece (possibly a lamp) ,Unidentified rusted metal piece (possibly a lamp) ,1,Fair,Unknown,Unknown,Unknown,Metal,tinui,object,089,tinui_item,"","",""
91,2023-10-25,23-01/1-4-92,Large Ceramic Jug,"Large Ceramic Jug, with handle and stopper",1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,090,tinui_item,"","",""
92,2023-10-25,23-01/1-4-93,Whalebone vase with metal insert,"Whalebone oval vase with metal insert. Handmade by Jo Perano, Tory Channel, Whaling Station, South Island",1,Good,1950s,Jo Perano,Unknown,"Whalebone, metal",tinui,object,091,tinui_item,"","",""
93,2023-10-25,23-01/1-4-94,Large Ceramic Bowl with handle,Large Ceramic Bowl with handle,1,Good,Unknown,Unknown,Unknown,"Ceramic, Paint",tinui,object,092,tinui_item,"","",""
94,2023-10-25,23-01/1-4-95,Large Ceramic two-tone vase,Large Ceramic two-tone vase,1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,093,tinui_item,"","",""
95,2023-10-25,23-01/1-4-96,"Blue, yellow, and red pillow","Blue, yellow, and red pillow",1,Good,Unknown,Unknown,Unknown,"fabric, Thread, Stuffing",tinui,object,094,tinui_item,"","",""
96,2023-10-25,23-01/1-4-97,Small woven suitcase,Small woven suitcase with brown leather caps.,1,Good,Unknown,Unknown,Unknown,"Leather, cane, thread, metal",tinui,object,095,tinui_item,"","",""
97,2023-10-25,23-01/1-4-98,Wooden bowl on a stick,Wooden bowl on a stick,1,Good,Unknown,Unknown,Unknown,Wood,tinui,object,096,tinui_item,"","",""
98,2023-10-25,23-01/1-4-99,Lions necklace with gold chain,Lions necklace with lions logo pendant and gold chain,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,097,tinui_item,"","",""
99,2023-10-25,23-01/1-4-100,Lions Honours Board ,"Lions Honours Board with plaques, gavel, and bell. ",1,Good,Unknown,Unknown,Unknown,"Wood, Metal",tinui,object,098,tinui_item,"","",""
100,2023-10-25,23-01/1-2-1,Hand turned sewing machine,"Hand turned sewing machine on wooden base with climbing flowers painted across the plate and arm. Brand is ""Standard""",1,Good,Unknown,Unknown,Unknown,"Metal, Wood, Paint",tinui,object,099,tinui_item,"","",""
101,2023-10-25,23-01/1-2-2,Cash register,Cash register with role of reciept paper in place. Brand is Victor,1,Good,Unknown,Unknown,Unknown,"Metal, Paint, Glass, Plastic",tinui,object,100,tinui_item,"","",""
102,2023-10-25,23-01/1-2-3,Red child's tricycle,Red child's tricycle with pedals and an orange seat.,1,Good,Unknown,Unknown,Perry Family,Children,tinui,object,101,tinui_item,"","",""
103,2023-10-25,23-01/1-2-4,Spinning wheel,Spinning wheel with pedal. Bobbin is full of cream wool. ,1,Good,Unknown,Unknown,Unknown,"Metal, Wood",tinui,object,102,tinui_item,"","",""
104,2023-10-25,23-01/1-2-5,Russian Jack's walking stick,"Russian Jack's walking stick, a handmade walking stick with a curved top for holding and twine wrapped around the case. Russian Jack was an Eastern European swag man who walked across the lower North Island for most of the early 20th century. His name comes from the anglicisation of the name Ivan, which directedly translates to John and then becomes Jack.",1,Good,Unknown,Russian Jack,Unknown,"Wood, thread",tinui,object,103,tinui_item,"","",""
105,2023-10-25,23-01/1-2-6,Trouser Press,Corby's brand metal trouser press with handle.,1,Good,Unknown,Unknown,Unknown,"Metal, Wood, Paint",tinui,object,104,tinui_item,"","",""
106,2023-10-25,23-01/1-2-7,Planet Junior Farm equipment ,"Planet Junior Farm equipment green metal body with wooden handles. Attached is note that reads ""Planet Junior  - for sowing small areas of crops close to home i.e market gardeners etc. - corn, turnips, mangels""",1,Good,Unknown,Planet Jr. USA,Unknown,"Metal, Wood, Paint",tinui,object,105,tinui_item,"","",""
107,2023-10-25,23-01/1-2-8,Football World Cup 1982 Mug,"Football World Cup 1982 Mug, design on the front reads ""World Cup Spain '82, New Zealand"" and features a kiwi in a sombrero holding a football. ",1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,106,tinui_item,"","",""
108,2023-10-25,23-01/1-2-9,Clothes sprinkler,"Yellow and white striped plastic clothes sprinkler, for damping clothes before the invention of the steam iron.",1,Good,Unknown,Unknown,Unknown,Plastic,tinui,object,107,tinui_item,"","",""
109,2023-10-25,23-01/1-2-10,Metal stand with six holes,"Metal stand with room for six long objects, such as tools, or toothbrushes",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,108,tinui_item,"","",""
110,2023-10-25,23-01/1-2-11,Pams Doughnut Maker,Pams Doughnut Maker,1,Good,1950s,Pams,Unknown,"Metal, Cardboard",tinui,object,109,tinui_item,"","",""
111,2023-10-25,23-01/1-2-12,Hand turned metal slicer,Hand turned circular metal slicer with three blades controlled by a handle and two points of entry. ,1,Good,Unknown,Unknown,Grant Perry,"Metal, Wood, Paint",tinui,object,110,tinui_item,"","",""
112,2023-10-25,23-01/1-2-13,Chelsea Cigarette tin,Chelsea Cigarette tin with slice through the top. Possibly for collecting money for the war effort.,1,Fair,1940s,Chelsea,F. Belliss,"Metal, Paint",tinui,object,111,tinui_item,"","",""
